
X: 599.456787109375, Y: -250.076293945312), Z: -1135.81848144531, Timestamp: 468018827.365344
X: 623.260498046875, Y: -211.212158203125), Z: -1161.33117675781, Timestamp: 468018827.375291
X: 663.604736328125, Y: -192.245483398438), Z: -1189.84985351562, Timestamp: 468018827.385322
X: 696.47216796875, Y: -170.440673828125), Z: -1171.34094238281, Timestamp: 468018827.395027
X: 686.538696289062, Y: -125.534057617188), Z: -1128.63159179688, Timestamp: 468018827.405364
X: 656.387329101562, Y: -85.7086181640625), Z: -1099.57885742188, Timestamp: 468018827.41542
X: 633.819580078125, Y: -59.99755859375), Z: -1062.72888183594, Timestamp: 468018827.425707
X: 608.352661132812, Y: -40.6646728515625), Z: -1039.59655761719, Timestamp: 468018827.435372
X: 591.720581054688, Y: -12.9241943359375), Z: -1038.04016113281, Timestamp: 468018827.446252
X: 591.949462890625, Y: 53.1005859375), Z: -1040.8935546875, Timestamp: 468018827.456304
X: 570.907592773438, Y: 119.93408203125), Z: -1041.71752929688, Timestamp: 468018827.465394
X: 525.711059570312, Y: 135.68115234375), Z: -1037.13989257812, Timestamp: 468018827.475414
X: 488.021850585938, Y: 101.577758789062), Z: -1021.3623046875, Timestamp: 468018827.48541
X: 477.935791015625, Y: 73.5931396484375), Z: -993.942260742188, Timestamp: 468018827.496152
X: 474.090576171875, Y: 63.7664794921875), Z: -975.814819335938, Timestamp: 468018827.505434
X: 467.742919921875, Y: 55.8929443359375), Z: -968.948364257812, Timestamp: 468018827.515428
X: 465.347290039062, Y: 50.0030517578125), Z: -980.209350585938, Timestamp: 468018827.525495
X: 467.4072265625, Y: 44.158935546875), Z: -993.438720703125, Timestamp: 468018827.535574
X: 474.807739257812, Y: 45.684814453125), Z: -992.49267578125, Timestamp: 468018827.545918
X: 480.499267578125, Y: 21.759033203125), Z: -963.638305664062, Timestamp: 468018827.555488
X: 479.4921875, Y: -20.32470703125), Z: -938.217163085938, Timestamp: 468018827.565514
X: 459.41162109375, Y: -38.604736328125), Z: -918.5791015625, Timestamp: 468018827.575473
X: 426.605224609375, Y: -24.23095703125), Z: -910.614013671875, Timestamp: 468018827.585839
X: 428.085327148438, Y: -25.6805419921875), Z: -892.974853515625, Timestamp: 468018827.595634
X: 455.062866210938, Y: -50.3997802734375), Z: -867.630004882812, Timestamp: 468018827.605595
X: 426.193237304688, Y: -34.027099609375), Z: -861.63330078125, Timestamp: 468018827.615635
X: 385.452270507812, Y: -18.73779296875), Z: -854.1259765625, Timestamp: 468018827.625244
X: 368.621826171875, Y: -17.425537109375), Z: -838.394165039062, Timestamp: 468018827.635328
X: 358.70361328125, Y: -17.0440673828125), Z: -808.975219726562, Timestamp: 468018827.645637
X: 346.755981445312, Y: -10.80322265625), Z: -789.321899414062, Timestamp: 468018827.655957
X: 328.018188476562, Y: -16.3421630859375), Z: -776.535034179688, Timestamp: 468018827.665631
X: 318.740844726562, Y: -26.702880859375), Z: -764.755249023438, Timestamp: 468018827.675616
X: 319.854736328125, Y: -38.4368896484375), Z: -753.997802734375, Timestamp: 468018827.685679
X: 315.505981445312, Y: -46.7987060546875), Z: -755.462646484375, Timestamp: 468018827.695659
X: 307.06787109375, Y: -43.9453125), Z: -757.87353515625, Timestamp: 468018827.706054
X: 301.589965820312, Y: -41.046142578125), Z: -759.323120117188, Timestamp: 468018827.715838
X: 298.934936523438, Y: -25.421142578125), Z: -756.362915039062, Timestamp: 468018827.726022
X: 294.876098632812, Y: -16.1590576171875), Z: -754.867553710938, Timestamp: 468018827.735811
X: 290.8935546875, Y: -13.7481689453125), Z: -762.191772460938, Timestamp: 468018827.745912
X: 301.69677734375, Y: -7.293701171875), Z: -771.530151367188, Timestamp: 468018827.755716
X: 312.3779296875, Y: 10.406494140625), Z: -775.955200195312, Timestamp: 468018827.76568
X: 323.013305664062, Y: 32.0281982421875), Z: -780.868530273438, Timestamp: 468018827.776321
X: 322.784423828125, Y: 51.5899658203125), Z: -776.91650390625, Timestamp: 468018827.78574
X: 326.126098632812, Y: 61.8896484375), Z: -778.396606445312, Timestamp: 468018827.795876
X: 341.537475585938, Y: 55.6640625), Z: -778.945922851562, Timestamp: 468018827.80572
X: 357.757568359375, Y: 64.6209716796875), Z: -783.889770507812, Timestamp: 468018827.81581
X: 376.800537109375, Y: 85.3424072265625), Z: -796.173095703125, Timestamp: 468018827.826334
X: 393.035888671875, Y: 93.32275390625), Z: -804.550170898438, Timestamp: 468018827.83576
X: 409.408569335938, Y: 89.0655517578125), Z: -810.97412109375, Timestamp: 468018827.845781
X: 421.783447265625, Y: 87.21923828125), Z: -804.656982421875, Timestamp: 468018827.855736
X: 430.068969726562, Y: 98.052978515625), Z: -797.332763671875, Timestamp: 468018827.866157
X: 429.534912109375, Y: 101.470947265625), Z: -792.41943359375, Timestamp: 468018827.876374
X: 421.615600585938, Y: 101.882934570312), Z: -794.357299804688, Timestamp: 468018827.885803
X: 418.792724609375, Y: 89.630126953125), Z: -798.27880859375, Timestamp: 468018827.895589
X: 424.37744140625, Y: 76.47705078125), Z: -790.481567382812, Timestamp: 468018827.905784
X: 422.088623046875, Y: 59.814453125), Z: -779.220581054688, Timestamp: 468018827.915846
X: 421.722412109375, Y: 49.041748046875), Z: -771.881103515625, Timestamp: 468018827.926301
X: 428.848266601562, Y: 31.005859375), Z: -779.769897460938, Timestamp: 468018827.936212
X: 440.383911132812, Y: 18.402099609375), Z: -792.068481445312, Timestamp: 468018827.945868
X: 448.883056640625, Y: 10.162353515625), Z: -798.477172851562, Timestamp: 468018827.957185
X: 456.069946289062, Y: -11.77978515625), Z: -798.538208007812, Timestamp: 468018827.965942
X: 469.207763671875, Y: -37.0941162109375), Z: -801.055908203125, Timestamp: 468018827.976177
X: 483.673095703125, Y: -47.7294921875), Z: -799.163818359375, Timestamp: 468018827.985915
X: 483.108520507812, Y: -40.8935546875), Z: -796.707153320312, Timestamp: 468018827.995919
X: 475.204467773438, Y: -41.44287109375), Z: -798.141479492188, Timestamp: 468018828.006267
X: 465.896606445312, Y: -49.8504638671875), Z: -795.669555664062, Timestamp: 468018828.0163
X: 459.609985351562, Y: -62.1337890625), Z: -790.771484375, Timestamp: 468018828.025947
X: 461.73095703125, Y: -74.8291015625), Z: -796.173095703125, Timestamp: 468018828.03596
X: 465.255737304688, Y: -80.1849365234375), Z: -802.566528320312, Timestamp: 468018828.045931
X: 465.33203125, Y: -86.5325927734375), Z: -808.456420898438, Timestamp: 468018828.055971
X: 468.353271484375, Y: -90.423583984375), Z: -818.756103515625, Timestamp: 468018828.065956
X: 468.887329101562, Y: -93.353271484375), Z: -827.57568359375, Timestamp: 468018828.076
X: 474.700927734375, Y: -82.5347900390625), Z: -835.906982421875, Timestamp: 468018828.085961
X: 481.475830078125, Y: -68.2830810546875), Z: -851.104736328125, Timestamp: 468018828.096344
X: 496.490478515625, Y: -83.2977294921875), Z: -871.734619140625, Timestamp: 468018828.106176
X: 518.402099609375, Y: -94.8333740234375), Z: -894.851684570312, Timestamp: 468018828.116037
X: 531.890869140625, Y: -105.95703125), Z: -917.938232421875, Timestamp: 468018828.126115
X: 549.86572265625, Y: -119.979858398438), Z: -929.763793945312, Timestamp: 468018828.136021
X: 559.341430664062, Y: -126.251220703125), Z: -936.676025390625, Timestamp: 468018828.146045
X: 557.815551757812, Y: -122.848510742188), Z: -930.7861328125, Timestamp: 468018828.156001
X: 560.409545898438, Y: -134.078979492188), Z: -928.848266601562, Timestamp: 468018828.166377
X: 567.19970703125, Y: -164.337158203125), Z: -936.737060546875, Timestamp: 468018828.176101
X: 586.410522460938, Y: -200.363159179688), Z: -956.451416015625, Timestamp: 468018828.186033
X: 603.057861328125, Y: -228.08837890625), Z: -971.237182617188, Timestamp: 468018828.196087
X: 607.177734375, Y: -241.256713867188), Z: -991.348266601562, Timestamp: 468018828.206593
X: 620.758056640625, Y: -258.743286132812), Z: -1019.82116699219, Timestamp: 468018828.216176
X: 649.7802734375, Y: -287.338256835938), Z: -1037.59765625, Timestamp: 468018828.22618
X: 664.764404296875, Y: -300.4150390625), Z: -1030.80749511719, Timestamp: 468018828.23651
X: 657.150268554688, Y: -326.416015625), Z: -1028.36608886719, Timestamp: 468018828.246188
X: 641.54052734375, Y: -344.650268554688), Z: -1031.75354003906, Timestamp: 468018828.256668
X: 609.832763671875, Y: -341.018676757812), Z: -1020.37048339844, Timestamp: 468018828.266218
