
X: -0.09759521484375, Y: 0.10955810546875), Z: -0.988922119140625, Timestamp: 468017409.8936
X: -0.094085693359375, Y: 0.105667114257812), Z: -0.987472534179688, Timestamp: 468017410.123365
X: -0.0941009521484375, Y: 0.106170654296875), Z: -0.987472534179688, Timestamp: 468017410.133204
X: -0.096649169921875, Y: 0.112991333007812), Z: -0.988433837890625, Timestamp: 468017410.143229
X: -0.09716796875, Y: 0.115432739257812), Z: -0.990875244140625, Timestamp: 468017410.15326
X: -0.09368896484375, Y: 0.114486694335938), Z: -0.990890502929688, Timestamp: 468017410.164151
X: -0.0951690673828125, Y: 0.113494873046875), Z: -0.990890502929688, Timestamp: 468017410.173364
X: -0.0966644287109375, Y: 0.114456176757812), Z: -0.990386962890625, Timestamp: 468017410.183539
X: -0.0956268310546875, Y: 0.110549926757812), Z: -0.989913940429688, Timestamp: 468017410.193937
X: -0.0950775146484375, Y: 0.105667114257812), Z: -0.99285888671875, Timestamp: 468017410.203191
X: -0.0915374755859375, Y: 0.099334716796875), Z: -0.989944458007812, Timestamp: 468017410.213953
X: -0.0935211181640625, Y: 0.0993194580078125), Z: -0.98699951171875, Timestamp: 468017410.223351
X: -0.0955352783203125, Y: 0.10223388671875), Z: -0.984527587890625, Timestamp: 468017410.23337
X: -0.0955963134765625, Y: 0.107620239257812), Z: -0.986480712890625, Timestamp: 468017410.243387
X: -0.09814453125, Y: 0.11444091796875), Z: -0.988433837890625, Timestamp: 468017410.253651
X: -0.0981597900390625, Y: 0.11590576171875), Z: -0.987930297851562, Timestamp: 468017410.265284
X: -0.100143432617188, Y: 0.116867065429688), Z: -0.991348266601562, Timestamp: 468017410.273553
X: -0.0971221923828125, Y: 0.11151123046875), Z: -0.989898681640625, Timestamp: 468017410.283388
X: -0.0920867919921875, Y: 0.103729248046875), Z: -0.99041748046875, Timestamp: 468017410.293816
X: -0.09503173828125, Y: 0.102249145507812), Z: -0.988937377929688, Timestamp: 468017410.303423
X: -0.0945587158203125, Y: 0.103713989257812), Z: -0.987472534179688, Timestamp: 468017410.313792
X: -0.094146728515625, Y: 0.110565185546875), Z: -0.988937377929688, Timestamp: 468017410.323687
X: -0.0981292724609375, Y: 0.11248779296875), Z: -0.987457275390625, Timestamp: 468017410.333322
X: -0.099639892578125, Y: 0.114913940429688), Z: -0.986465454101562, Timestamp: 468017410.343303
X: -0.09564208984375, Y: 0.111526489257812), Z: -0.99481201171875, Timestamp: 468017410.35339
X: -0.0936279296875, Y: 0.108612060546875), Z: -0.988937377929688, Timestamp: 468017410.363489
X: -0.097076416015625, Y: 0.10760498046875), Z: -0.987457275390625, Timestamp: 468017410.373403
X: -0.0950469970703125, Y: 0.102737426757812), Z: -0.989913940429688, Timestamp: 468017410.383438
X: -0.0900726318359375, Y: 0.100814819335938), Z: -0.98602294921875, Timestamp: 468017410.393784
X: -0.092529296875, Y: 0.099334716796875), Z: -0.98699951171875, Timestamp: 468017410.403425
X: -0.0980377197265625, Y: 0.104660034179688), Z: -0.988922119140625, Timestamp: 468017410.413421
X: -0.09417724609375, Y: 0.113494873046875), Z: -0.987457275390625, Timestamp: 468017410.423454
X: -0.094635009765625, Y: 0.110565185546875), Z: -0.990402221679688, Timestamp: 468017410.433449
X: -0.095123291015625, Y: 0.110061645507812), Z: -0.987945556640625, Timestamp: 468017410.443549
X: -0.0926361083984375, Y: 0.108139038085938), Z: -0.985031127929688, Timestamp: 468017410.45348
X: -0.0951385498046875, Y: 0.111541748046875), Z: -0.986480712890625, Timestamp: 468017410.463512
X: -0.099609375, Y: 0.112960815429688), Z: -0.990386962890625, Timestamp: 468017410.473471
X: -0.0936126708984375, Y: 0.107635498046875), Z: -0.99188232421875, Timestamp: 468017410.483861
X: -0.08807373046875, Y: 0.098876953125), Z: -0.987014770507812, Timestamp: 468017410.493665
X: -0.0904998779296875, Y: 0.094940185546875), Z: -0.98553466796875, Timestamp: 468017410.503558
X: -0.09552001953125, Y: 0.10125732421875), Z: -0.988937377929688, Timestamp: 468017410.513583
X: -0.09466552734375, Y: 0.113006591796875), Z: -0.989425659179688, Timestamp: 468017410.523611
X: -0.09765625, Y: 0.114456176757812), Z: -0.990386962890625, Timestamp: 468017410.534146
X: -0.09765625, Y: 0.114944458007812), Z: -0.991851806640625, Timestamp: 468017410.546756
X: -0.0911407470703125, Y: 0.107162475585938), Z: -0.98748779296875, Timestamp: 468017410.554025
X: -0.0876007080078125, Y: 0.099853515625), Z: -0.98455810546875, Timestamp: 468017410.563646
X: -0.0961456298828125, Y: 0.112991333007812), Z: -0.991867065429688, Timestamp: 468017410.573597
X: -0.0992584228515625, Y: 0.125198364257812), Z: -0.9874267578125, Timestamp: 468017410.583656
X: -0.0991973876953125, Y: 0.11981201171875), Z: -0.997726440429688, Timestamp: 468017410.594185
X: -0.0921478271484375, Y: 0.108139038085938), Z: -0.984542846679688, Timestamp: 468017410.60373
X: -0.0900421142578125, Y: 0.0978851318359375), Z: -0.98455810546875, Timestamp: 468017410.613676
X: -0.092010498046875, Y: 0.097381591796875), Z: -0.98748779296875, Timestamp: 468017410.623959
X: -0.0905609130859375, Y: 0.0998382568359375), Z: -0.989944458007812, Timestamp: 468017410.633758
X: -0.09405517578125, Y: 0.102737426757812), Z: -0.99139404296875, Timestamp: 468017410.644337
X: -0.0980224609375, Y: 0.104660034179688), Z: -0.993820190429688, Timestamp: 468017410.653753
X: -0.09405517578125, Y: 0.103225708007812), Z: -0.99285888671875, Timestamp: 468017410.663726
X: -0.0910797119140625, Y: 0.102279663085938), Z: -0.991409301757812, Timestamp: 468017410.673742
X: -0.0935211181640625, Y: 0.0993194580078125), Z: -0.985031127929688, Timestamp: 468017410.683727
X: -0.095001220703125, Y: 0.09930419921875), Z: -0.982574462890625, Timestamp: 468017410.694751
X: -0.093597412109375, Y: 0.106170654296875), Z: -0.987472534179688, Timestamp: 468017410.70389
X: -0.092193603515625, Y: 0.113525390625), Z: -0.99188232421875, Timestamp: 468017410.713789
